ProductCode                                        ProductDescription                                                                                                                                                                                                                                              SubCategoryCode Brand                                                                                                                                                                                                                                                           Cost                  Price                 Type                                                                                                                                                                                                                                                            Color                                                                                                                                                                                                                                                           ShipDays               Status
-------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------- --------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BZ-801                                             Bulldozers-JCB-HeavyDuty-Yellow                                                                                                                                                                                                                                 1               JCB                                                                                                                                                                                                                                                             3013.00               4007.00               HeavyDuty                                                                                                                                                                                                                                                       Yellow                                                                                                                                                                                                                                                          15                     Active
BZ-802                                             Bulldozers-IngersollRand-Standard-YellowBlack                                                                                                                                                                                                                   1               IngersollRand                                                                                                                                                                                                                                                   6958.00               7375.00               Standard                                                                                                                                                                                                                                                        YellowBlack                                                                                                                                                                                                                                                     12                     Active
BZ-803                                             Bulldozers-BEML-LightDuty-Green                                                                                                                                                                                                                                 1               BEML                                                                                                                                                                                                                                                            8341.00               11677.00              LightDuty                                                                                                                                                                                                                                                       Green                                                                                                                                                                                                                                                           5                      Active
BZ-804                                             Bulldozers-Liebherr-LightDuty-GreenWhite                                                                                                                                                                                                                        1               Liebherr                                                                                                                                                                                                                                                        8901.00               9524.00               LightDuty                                                                                                                                                                                                                                                       GreenWhite                                                                                                                                                                                                                                                      10                     Active
BZ-805                                             Bulldozers-Komatsu-LightDuty-Orange                                                                                                                                                                                                                             1               Komatsu                                                                                                                                                                                                                                                         5768.00               6691.00               LightDuty                                                                                                                                                                                                                                                       Orange                                                                                                                                                                                                                                                          12                     Active
BZ-806                                             Bulldozers-AllisChalmers-HeavyDuty-White                                                                                                                                                                                                                        1               AllisChalmers                                                                                                                                                                                                                                                   9872.00               13327.00              HeavyDuty                                                                                                                                                                                                                                                       White                                                                                                                                                                                                                                                           8                      Active
BZ-807                                             Bulldozers-Terex-Standard-Black                                                                                                                                                                                                                                 1               Terex                                                                                                                                                                                                                                                           2652.00               3527.00               Standard                                                                                                                                                                                                                                                        Black                                                                                                                                                                                                                                                           9                      Active
BZ-808                                             Bulldozers-Caterpillar-LightDuty-RedWhite                                                                                                                                                                                                                       1               Caterpillar                                                                                                                                                                                                                                                     4017.00               4298.00               LightDuty                                                                                                                                                                                                                                                       RedWhite                                                                                                                                                                                                                                                        9                      Active
BZ-809                                             Bulldozers-International-Standard-Red                                                                                                                                                                                                                           1               International                                                                                                                                                                                                                                                   3803.00               4754.00               Standard                                                                                                                                                                                                                                                        Red                                                                                                                                                                                                                                                             5                      Active
BZ-810                                             Bulldozers-Hitachi-LightDuty-WhiteYellow                                                                                                                                                                                                                        1               Hitachi                                                                                                                                                                                                                                                         5080.00               5588.00               LightDuty                                                                                                                                                                                                                                                       WhiteYellow                                                                                                                                                                                                                                                     14                     Active
