CalendarDate Year        Quarter MonthNo     MonthName                      Day         WeekDayName                    YearMonth        MonthDay         DayType WeekOfYear  WeekOfMonth          DayOfMonth  YearMonthKey YearQuarter                YearFiscalQuarterEnd YearEnd
------------ ----------- ------- ----------- ------------------------------ ----------- ------------------------------ ---------------- ---------------- ------- ----------- -------------------- ----------- ------------ -------------------------- -------------------- -----------
2012-01-01   2012        Q1      1           January                        1           Sunday                         2012-Jan         Jan-1            WeekEnd 1           1                    1           201201       2012-Q1                    2012-Q4              2012
2012-01-02   2012        Q1      1           January                        2           Monday                         2012-Jan         Jan-2            WeekDay 1           2                    2           201201       2012-Q1                    2012-Q4              2012
2012-01-03   2012        Q1      1           January                        3           Tuesday                        2012-Jan         Jan-3            WeekDay 1           3                    3           201201       2012-Q1                    2012-Q4              2012
2012-01-04   2012        Q1      1           January                        4           Wednesday                      2012-Jan         Jan-4            WeekDay 1           4                    4           201201       2012-Q1                    2012-Q4              2012
2012-01-05   2012        Q1      1           January                        5           Thursday                       2012-Jan         Jan-5            WeekDay 1           5                    5           201201       2012-Q1                    2012-Q4              2012
2012-01-06   2012        Q1      1           January                        6           Friday                         2012-Jan         Jan-6            WeekDay 1           6                    6           201201       2012-Q1                    2012-Q4              2012
2012-01-07   2012        Q1      1           January                        7           Saturday                       2012-Jan         Jan-7            WeekEnd 1           7                    7           201201       2012-Q1                    2012-Q4              2012
2012-01-08   2012        Q1      1           January                        8           Sunday                         2012-Jan         Jan-8            WeekEnd 2           8                    8           201201       2012-Q1                    2012-Q4              2012
2012-01-09   2012        Q1      1           January                        9           Monday                         2012-Jan         Jan-9            WeekDay 2           9                    9           201201       2012-Q1                    2012-Q4              2012
2012-01-10   2012        Q1      1           January                        10          Tuesday                        2012-Jan         Jan-10           WeekDay 2           10                   10          201201       2012-Q1                    2012-Q4              2012
2012-01-11   2012        Q1      1           January                        11          Wednesday                      2012-Jan         Jan-11           WeekDay 2           11                   11          201201       2012-Q1                    2012-Q4              2012
2012-01-12   2012        Q1      1           January                        12          Thursday                       2012-Jan         Jan-12           WeekDay 2           12                   12          201201       2012-Q1                    2012-Q4              2012
2012-01-13   2012        Q1      1           January                        13          Friday                         2012-Jan         Jan-13           WeekDay 2           13                   13          201201       2012-Q1                    2012-Q4              2012
2012-01-14   2012        Q1      1           January                        14          Saturday                       2012-Jan         Jan-14           WeekEnd 2           14                   14          201201       2012-Q1                    2012-Q4              2012
2012-01-15   2012        Q1      1           January                        15          Sunday                         2012-Jan         Jan-15           WeekEnd 3           15                   15          201201       2012-Q1                    2012-Q4              2012
2012-01-16   2012        Q1      1           January                        16          Monday                         2012-Jan         Jan-16           WeekDay 3           16                   16          201201       2012-Q1                    2012-Q4              2012
2012-01-17   2012        Q1      1           January                        17          Tuesday                        2012-Jan         Jan-17           WeekDay 3           17                   17          201201       2012-Q1                    2012-Q4              2012
2012-01-18   2012        Q1      1           January                        18          Wednesday                      2012-Jan         Jan-18           WeekDay 3           18                   18          201201       2012-Q1                    2012-Q4              2012
2012-01-19   2012        Q1      1           January                        19          Thursday                       2012-Jan         Jan-19           WeekDay 3           19                   19          201201       2012-Q1                    2012-Q4              2012
2012-01-20   2012        Q1      1           January                        20          Friday                         2012-Jan         Jan-20           WeekDay 3           20                   20          201201       2012-Q1                    2012-Q4              2012
2012-01-21   2012        Q1      1           January                        21          Saturday                       2012-Jan         Jan-21           WeekEnd 3           21                   21          201201       2012-Q1                    2012-Q4              2012
2012-01-22   2012        Q1      1           January                        22          Sunday                         2012-Jan         Jan-22           WeekEnd 4           22                   22          201201       2012-Q1                    2012-Q4              2012
2012-01-23   2012        Q1      1           January                        23          Monday                         2012-Jan         Jan-23           WeekDay 4           23                   23          201201       2012-Q1                    2012-Q4              2012
2012-01-24   2012        Q1      1           January                        24          Tuesday                        2012-Jan         Jan-24           WeekDay 4           24                   24          201201       2012-Q1                    2012-Q4              2012
2012-01-25   2012        Q1      1           January                        25          Wednesday                      2012-Jan         Jan-25           WeekDay 4           25                   25          201201       2012-Q1                    2012-Q4              2012
2012-01-26   2012        Q1      1           January                        26          Thursday                       2012-Jan         Jan-26           WeekDay 4           26                   26          201201       2012-Q1                    2012-Q4              2012
2012-01-27   2012        Q1      1           January                        27          Friday                         2012-Jan         Jan-27           WeekDay 4           27                   27          201201       2012-Q1                    2012-Q4              2012
2012-01-28   2012        Q1      1           January                        28          Saturday                       2012-Jan         Jan-28           WeekEnd 4           28                   28          201201       2012-Q1                    2012-Q4              2012
2012-01-29   2012        Q1      1           January                        29          Sunday                         2012-Jan         Jan-29           WeekEnd 5           29                   29          201201       2012-Q1                    2012-Q4              2012
2012-01-30   2012        Q1      1           January                        30          Monday                         2012-Jan         Jan-30           WeekDay 5           30                   30          201201       2012-Q1                    2012-Q4              2012
2012-01-31   2012        Q1      1           January                        31          Tuesday                        2012-Jan         Jan-31           WeekDay 5           31                   31          201201       2012-Q1                    2012-Q4              2012
2012-02-01   2012        Q1      2           February                       1           Wednesday                      2012-Feb         Feb-1            WeekDay 5           1                    1           201202       2012-Q1                    2012-Q4              2012
2012-02-02   2012        Q1      2           February                       2           Thursday                       2012-Feb         Feb-2            WeekDay 5           2                    2           201202       2012-Q1                    2012-Q4              2012
2012-02-03   2012        Q1      2           February                       3           Friday                         2012-Feb         Feb-3            WeekDay 5           3                    3           201202       2012-Q1                    2012-Q4              2012
2012-02-04   2012        Q1      2           February                       4           Saturday                       2012-Feb         Feb-4            WeekEnd 5           4                    4           201202       2012-Q1                    2012-Q4              2012
2012-02-05   2012        Q1      2           February                       5           Sunday                         2012-Feb         Feb-5            WeekEnd 6           5                    5           201202       2012-Q1                    2012-Q4              2012
2012-02-06   2012        Q1      2           February                       6           Monday                         2012-Feb         Feb-6            WeekDay 6           6                    6           201202       2012-Q1                    2012-Q4              2012
2012-02-07   2012        Q1      2           February                       7           Tuesday                        2012-Feb         Feb-7            WeekDay 6           7                    7           201202       2012-Q1                    2012-Q4              2012
2012-02-08   2012        Q1      2           February                       8           Wednesday                      2012-Feb         Feb-8            WeekDay 6           8                    8           201202       2012-Q1                    2012-Q4              2012
